"","Metadata_Slide","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1","01","1kPa","E1","02","DMSO","02","100","Laminin","LN",24,31.1769145362398,2.5592878335594,1.32939812327213,0.189955406407571,0.0987756020132827,0.171405458233371,0.0985328987025638,0.17893343562004,0.112632477483065,0.162906715588537,0.104514084038167,0.346187148528212,0.124139293217875,0.278202855691481,0.104383455037205
"2","01","1kPa","E1","02","DMSO","03","75/25","Collagen IDecorin","C1DN",209.333333333333,41.2956817758629,5.32973754595277,0.210795906774395,0.197240550083518,0.0591490922522362,0.17383928294439,0.0575168749641055,0.159859075001638,0.0810670804939181,0.144445363710842,0.0733625146486723,0.228156773495657,0.0692327416107649,0.184399267446442,0.0536044575725425
"3","01","1kPa","E1","02","DMSO","04","50/50","Collagen ICollagen IV","C1C4",282,24.2693221990232,5.63951077849376,0.0841405187929851,0.14931963215016,0.051754255604493,0.128853191630686,0.049515946386124,0.107840921555698,0.0621756191607462,0.0982127595482202,0.0557686751178659,0.166408152174679,0.0588858730034257,0.135759959432172,0.0476690201205497
"4","01","1kPa","E1","02","DMSO","05","25/75","Hyaluronic AcidFibronectin","HAFN",6.33333333333333,0.577350269189626,1.84314302917047,0.0889989364940314,0.157446325995866,0.0836278540930376,0.13859083874577,0.0828520062476174,0.15568647689888,0.221812781022021,0.14358999915182,0.20678802212652,0.209698274780155,0.0927377890398241,0.170107212280943,0.0742400307015761
"5","01","1kPa","E1","02","DMSO","06","75/25","Hyaluronic AcidGalectin 3","HAG3",40,32.9089653438087,3.07336422113962,1.71503727612576,0.206999375324609,0.0938127483417506,0.185765901581831,0.0943677706202343,0.109745002198634,0.0663917681217899,0.100889167118639,0.0594571680756458,0.372470401585825,0.174238590709089,0.310449873407349,0.156085794090759
"6","01","1kPa","E1","02","DMSO","07","25/75","LamininGalectin 3","LNG3",322,542.1770928396,3.44003013501825,3.13436236655018,0.202077034454571,0.0827958869918368,0.18150339026881,0.0800520983862276,0.14973511596264,0.0785077924890111,0.135420919166838,0.07009660274052,0.182975891476052,0.0579644442393778,0.148730857693155,0.0477285768008988
"7","01","1kPa","E1","02","DMSO","08","50/50","Tenascin CDecorin","TCDN",18,21.7025344142107,2.36446820862292,1.24154640376368,0.149783426898446,0.0655472870969367,0.131008793441025,0.059604276801884,0.11680653775937,0.0937670879922244,0.106527175393248,0.0834000275362045,0.214710389349491,0.0474497145943585,0.175393585886934,0.0376731839321139
"8","01","1kPa","E1","02","DMSO","09","75/25","LamininGalectin 3","LNG3",37.3333333333333,49.1663841799795,2.93998696709535,1.4311045440951,0.164892615998881,0.0661109703224462,0.143887510204608,0.0614586890105966,0.100960375964338,0.0530597160067704,0.0922023903393007,0.0466486061225041,0.180550738711172,0.0520275105470065,0.148057472810559,0.042639935205539
"9","01","1kPa","E1","02","DMSO","10","50/50","Collagen IVOsteopontin","C4OPN",254.666666666667,13.4288247189891,5.53904435533594,0.0520561410933611,0.194331922677748,0.063513175999123,0.171249831505077,0.062661390338433,0.161040569645195,0.0912617082245201,0.145705536979613,0.0827283651880445,0.176378185684029,0.052630574369629,0.1442814973349,0.0424971469509066
"10","01","1kPa","E1","02","DMSO","11","100","Collagen I","C1",343.666666666667,16.6533279957291,5.8388776287706,0.0490050153257503,0.188278291150112,0.0646367519019143,0.165954336806518,0.063156968346671,0.156197235585532,0.0815283611535346,0.141310246791719,0.0737271353883467,0.179873334204935,0.0633417502877365,0.147035958961591,0.0517906112999446
"11","01","1kPa","E1","02","DMSO","12","50/50","OsteopontinGalectin 3","OPNG3",170.666666666667,279.203032457266,3.43161791208826,2.48733366087614,0.135460365377579,0.0636534536009533,0.119704225382572,0.0608571661462101,0.084233378049369,0.0570959923267901,0.0781817849896505,0.0516058688210127,0.162542467602752,0.0772677057314079,0.131753966341912,0.0604046583596769
"12","01","1kPa","E1","03","DMSO","02","100","Collagen IV","C4",328.666666666667,118.601573907488,5.74939735723215,0.374777378990249,0.15244710108025,0.0502814794333306,0.131491308421662,0.0477830906227459,0.117531046120109,0.0748203562026744,0.106906757788404,0.0671937384126161,0.216544700779774,0.0760037240926858,0.176124720302423,0.0599658962588064
"13","01","1kPa","E1","03","DMSO","03","25/75","Collagen ICollagen IV","C1C4",358.666666666667,97.3875419821926,5.85959977603634,0.256133626776043,0.1393457809013,0.0427456406521813,0.119509110615618,0.0397446084824214,0.107751776389808,0.0538179564381415,0.098044085299343,0.0477736747384357,0.125588426123809,0.0390740760368908,0.101294901053709,0.033071082858215
"14","01","1kPa","E1","03","DMSO","04","50/50","Hyaluronic AcidOsteopontin","HAOPN",33,34.8711915483254,3.10696578751361,1.07313249368093,0.192402783703677,0.0648478348109668,0.170955656030279,0.0631878970168012,0.136959157508749,0.0762256593035597,0.124301862039362,0.0682758541402657,0.197276419232399,0.0765474026583823,0.160046642317304,0.060660832474016
"15","01","1kPa","E1","03","DMSO","05","100","Fibronectin","FN",6,7.81024967590665,1.13373246055405,1.40675886868825,0.105986186339471,NA,0.0924927381106444,NA,0.0480062975231122,NA,0.0459767802498832,NA,0.107773772366307,NA,0.0858226030220064,NA
