"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"277","1kPa","E2","03","DMSO","11","25/75","LamininHyaluronic Acid","LNHA",178.944444444444,59.3768566961161,5.06011897979252,0.37622840620477,0.191552138295255,0.0672070189336526,0.213826809860676,0.0670080721558428,0.120864037406903,0.0798958987258848,0.1354735209921,0.0896920106961331,0.101063148680186,0.032902315006243,0.135164783330189,0.0465157271241308
"278","1kPa","E2","03","DMSO","12","50/50","Hyaluronic AcidFibronectin","HAFN",414.611111111111,153.551113458823,5.96804558301125,0.44684175073583,0.110561393769405,0.040002632191231,0.130148685142984,0.0426717004976306,0.0736590419611603,0.0513830175770686,0.081323199720844,0.0585639511895809,0.0575898629410644,0.0200794892636853,0.0782076727136022,0.0249616944041432
"279","1kPa","E2","04","10 uM","02","100","Laminin","LN",56.8888888888889,70.5368304111012,3.00240070654011,1.54344067959402,0.111448491082363,NA,0.133065517485299,NA,0.0433836645918829,NA,0.045782153148071,NA,0.0751938867547438,NA,0.100400102712969,NA
"280","1kPa","E2","04","10 uM","03","50/50","LamininGalectin 3","LNG3",285.333333333333,33.8608262680572,5.59206253469684,0.141752260712773,0.101256954852017,0.0312246756528693,0.121229675509647,0.03413058486586,0.0442083267075105,0.0299584640203306,0.0467996591488638,0.0346283580084057,0.0624491348205848,0.0194238553181009,0.0841867372340474,0.0243035296114089
"281","1kPa","E2","04","10 uM","04","75/25","Collagen IHyaluronic Acid","C1HA",14,7.11805216802087,2.35856423530516,0.690390433412187,0.144908372993702,0.0820517044078148,0.164607807697602,0.090315263427175,0.050361251261614,0.0433685603362051,0.0546543729525641,0.0477479811315502,0.0944447959844214,0.0621315673738243,0.128272355297571,0.0848023681810313
"282","1kPa","E2","04","10 uM","05","50/50","Collagen IVFibronectin","C4FN",16.5555555555556,11.2447518622887,2.45426564151426,0.990850436796851,0.105949359344334,0.0543884760454627,0.122747071752072,0.0584003070401971,0.0470007621065967,0.0338893130417471,0.050795022685365,0.0394874410041937,0.0674766130390073,0.0334794300395017,0.0902758202707668,0.0443437075109349
"283","1kPa","E2","04","10 uM","06","25/75","Galectin 3Fibronectin","G3FN",66.4444444444444,38.9757759526492,4.033935539681,0.397870675812663,0.168687951272028,0.0919878320442145,0.19175472427723,0.0993763704357099,0.0642780926053595,0.0389772033503391,0.0707078259563325,0.0448926766496902,0.0914012670203917,0.0340365389357813,0.121836922837311,0.0457086368481415
"284","1kPa","E2","04","10 uM","07","25/75","LamininGalectin 3","LNG3",14.5555555555556,14.6363322667334,2.20113467781617,0.801992726870145,0.16731000697154,0.0671127069034036,0.188520778242606,0.0715394729866405,0.0883139985361426,0.0811911229397824,0.0980006361192135,0.0907752459490899,0.0871066871804468,0.0266056753365082,0.114901825932206,0.0338926154256306
"285","1kPa","E2","04","10 uM","08","50/50","Collagen IGalectin 3","C1G3",11.8888888888889,3.2659863237109,1.92449846268018,0.665663486632805,0.138143198644345,NA,0.161674124946921,NA,0.0562608522269363,NA,0.0604226463224611,NA,0.103525255540771,NA,0.140578602185013,NA
"286","1kPa","E2","04","10 uM","09","50/50","Collagen IVTenascin C","C4TC",60.7777777777778,50.7718207057594,3.67715875330068,0.799898851593965,0.167095845534984,0.0675125274486251,0.190131649742013,0.0689959489781213,0.0699904361791126,0.0551035158910682,0.0770453102951454,0.0629129112200062,0.107088156214927,0.0605058560703952,0.145327810376735,0.0971211432227064
