"","Metadata_Slide","Metadata_Stiffness","Metadata_Scene","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Nuclei","logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1","01","1kPa",1,"E1","02","DMSO","02","100","Laminin","LN",6,1.79175946922805,0.132848963303482,0.0545022222947552,0.114062031658979,0.0485521312290925,0.0913128613669045,0.0260565965294816,0.0834700028156279,0.0230262073798556,0.264200214661696,0.0540039663672993,0.214658734404944,0.0416475713114285
"2","01","1kPa",1,"E1","02","DMSO","03","75/25","Collagen IDecorin","C1DN",228,5.42934562895444,0.182072547988211,0.0633765606427029,0.159591017146888,0.0611232236853031,0.1587322326689,0.0907899646138438,0.1435638829276,0.08259697735536,0.196735644593743,0.0726877193214369,0.160229497991318,0.0576998262692688
"3","01","1kPa",1,"E1","02","DMSO","04","50/50","Collagen ICollagen IV","C1C4",310,5.73657229747919,0.14509338528284,0.0606357614783433,0.125113730406597,0.0584696303063521,0.114933425007187,0.0792559210544069,0.104607792622563,0.071445435223064,0.15465040807204,0.0563849236059129,0.12589980923285,0.0455541032439373
"4","01","1kPa",1,"E1","02","DMSO","05","25/75","Hyaluronic AcidFibronectin","HAFN",7,1.94591014905531,0.188226295030688,0.128256144849462,0.17009828189233,0.129691860232901,0.0757292514049012,0.0567762206175914,0.0704058566547374,0.0492340416595842,0.216795316250291,0.0629572809316527,0.176904033335987,0.0504446356262896
"5","01","1kPa",1,"E1","02","DMSO","06","75/25","Hyaluronic AcidGalectin 3","HAG3",51,3.93182563272433,0.205975731728779,0.120824136955549,0.186568836366684,0.122330965923632,0.170526369027522,0.0883175249472861,0.153997817333918,0.0794566639727593,0.216932390153605,0.0624665948778724,0.177032282407282,0.0493604933800852
"6","01","1kPa",1,"E1","02","DMSO","07","25/75","LamininGalectin 3","LNG3",16,2.77258872223978,0.227618750974385,0.102558797153478,0.206419345871601,0.101616681949563,0.161386731247044,0.0708127354231378,0.145523347324462,0.0628925780111414,0.25414745633004,0.0705375239190175,0.206112090170286,0.0554941125858501
"7","01","1kPa",1,"E1","02","DMSO","08","50/50","Tenascin CDecorin","TCDN",7,1.94591014905531,0.101676448835564,0.0694768840161507,0.0888679177712371,0.0617264763500981,0.0668015419858438,0.0622890015683846,0.0623638870826716,0.054405555986717,0.205751824813979,0.0520094949886115,0.168424846330245,0.041517977432302
"8","01","1kPa",1,"E1","02","DMSO","09","75/25","LamininGalectin 3","LNG3",12,2.484906649788,0.171715161533137,0.0546691883486472,0.149592279495527,0.0501123922828568,0.0971961441254735,0.0413004519063602,0.0887593216836714,0.0362522393617698,0.217305052112977,0.042247229968562,0.178061542159599,0.0332180596960111
"9","01","1kPa",1,"E1","02","DMSO","10","50/50","Collagen IVOsteopontin","C4OPN",245,5.50125821054473,0.186476321590354,0.0585997248795244,0.163460774475096,0.0570122430273135,0.135449360629124,0.0840951114341514,0.122888622677253,0.0759573860309681,0.176823446132228,0.0552429881249433,0.14460338430947,0.0441878882778591
"10","01","1kPa",1,"E1","02","DMSO","11","100","Collagen I","C1",349,5.85507192220243,0.174330671428509,0.0619569557510788,0.152231892130517,0.0594239065294644,0.13344830193737,0.0689410226747064,0.120834021308508,0.0613427320315717,0.189817591478889,0.0772301667593562,0.155427041753921,0.0639527285814906
"11","01","1kPa",1,"E1","02","DMSO","12","50/50","OsteopontinGalectin 3","OPNG3",4,1.38629436111989,0.0902527878149915,0.0173055546337313,0.0756931452310424,0.0133526467127802,0.0252175912885049,0.00831331182479077,0.0257270382771304,0.00691134703940539,0.112244829757401,0.0383391800913173,0.0898642332165646,0.0337353289909478
"12","01","1kPa",1,"E1","03","DMSO","02","100","Collagen IV","C4",323,5.77765232322266,0.13129943223053,0.0415233962524739,0.111868053908429,0.0377922849336999,0.103076821913688,0.0700783664060995,0.0940426384535197,0.0624398731965551,0.187053815160267,0.0610220674899263,0.152759996384329,0.0490032954375739
"13","01","1kPa",1,"E1","03","DMSO","03","25/75","Collagen ICollagen IV","C1C4",471,6.15485809401642,0.113858984840025,0.0380979952393963,0.0964209083842285,0.0340546542032104,0.0946694772398694,0.0522028667209684,0.0864712589868442,0.0462469374422036,0.102240017153895,0.038097765923145,0.0812050121927231,0.0327616896345844
"14","01","1kPa",1,"E1","03","DMSO","04","50/50","Hyaluronic AcidOsteopontin","HAOPN",9,2.19722457733622,0.170266785036699,0.0554037999768587,0.14786098530486,0.0525764338745195,0.098123760713656,0.0550057047681231,0.0899873555643691,0.0476056201437737,0.199609636866975,0.066785648522429,0.162931318652935,0.0538288946392154
"15","01","1kPa",1,"E1","03","DMSO","05","100","Fibronectin","FN",2,0.693147180559945,0.112733780121567,0.0793037671389589,0.0983273475409046,0.0665862784453002,0.0133177981153108,0.0082622705520424,0.0164802703118923,0.00578484758496502,0.0912301476538293,0.0290008292257459,0.0717294438377008,0.0257152074383507
"16","01","1kPa",1,"E1","03","DMSO","06","50/50","OsteopontinDecorin","OPNDN",19,2.94443897916644,0.158845050619971,0.0564895781683748,0.137448415268913,0.0545246845384736,0.108306145947982,0.0522872823583015,0.0985360062178978,0.0460826947793344,0.166985427708031,0.0389672318767526,0.136892103580707,0.0322239164127155
"17","01","1kPa",1,"E1","03","DMSO","07","75/25","OsteopontinFibronectin","OPNFN",18,2.89037175789616,0.193719349806913,0.0829460701073718,0.171785226304397,0.0820734870963378,0.151935230463438,0.0762046214750546,0.137217353337667,0.0674884923113998,0.25694310979524,0.126443252538387,0.208692526667774,0.0990918279563052
"18","01","1kPa",1,"E1","03","DMSO","08","50/50","LamininDecorin","LNDN",14,2.63905732961526,0.204965335565425,0.102065256850025,0.1840064111751,0.101102438307472,0.14576767049494,0.0748975900487605,0.131817012825901,0.0661844648433583,0.205113717220634,0.0544008280029482,0.167777664458824,0.043830783693986
"19","01","1kPa",1,"E1","03","DMSO","09","25/75","LamininFibronectin","LNFN",17,2.83321334405622,0.158617762942314,0.0508137296926747,0.137224006156688,0.0464941142526978,0.0965370035930924,0.0613590389645562,0.0882696367079832,0.0539017210518818,0.198836144205807,0.051023018902521,0.16291130933495,0.0406995895362526
"20","01","1kPa",1,"E1","03","DMSO","10","75/25","Collagen IGalectin 3","C1G3",287,5.65948221575962,0.188556518910427,0.0541768819365323,0.165230113241482,0.05247790942795,0.16121898266208,0.0870172003960197,0.145739583632578,0.0783826786332927,0.149064578902664,0.0374533214764046,0.121738832237027,0.0315404089973012
"21","01","1kPa",1,"E1","03","DMSO","11","50/50","LamininFibronectin","LNFN",91,4.51085950651685,0.172829840710805,0.0686575708196689,0.151592805947488,0.0633728960528092,0.137110770651343,0.0626578628259568,0.124053681748424,0.0558239139004041,0.199782938552592,0.0634087247421683,0.163181174641056,0.0504665367055265
"22","01","1kPa",1,"E1","03","DMSO","12","25/75","Hyaluronic AcidGalectin 3","HAG3",12,2.484906649788,0.153898619109728,0.0616926118855689,0.133367173421244,0.0567521885042835,0.106774935470287,0.0421271414812547,0.0971590727843617,0.0373109454659643,0.183399764476522,0.0275618510842333,0.150865150232226,0.0222923150209505
"23","01","1kPa",1,"E1","04","DMSO","02","25/75","LamininDecorin","LNDN",17,2.83321334405622,0.173116822904402,0.105023048025094,0.154258569122901,0.102645684036923,0.121395607886989,0.0522298110785038,0.110014902921868,0.0460784060589911,0.261676317916509,0.0933288378202333,0.211098941190182,0.0718027746711322
"24","01","1kPa",1,"E1","04","DMSO","03","75/25","OsteopontinGalectin 3","OPNG3",13,2.56494935746154,0.181630212788197,0.103646931700765,0.162012954291758,0.101834895628131,0.201774783628615,0.263054400669549,0.187093406737924,0.242525422308664,0.217192905520157,0.114378851313703,0.174734674833961,0.0915035912356235
"25","01","1kPa",1,"E1","04","DMSO","04","75/25","Collagen IVHyaluronic Acid","C4HA",588,6.37672694789863,0.129963130535614,0.0415310963891289,0.110620502957927,0.0380051889030776,0.127380039195409,0.0762567679649332,0.115577978601997,0.0684039905009041,0.101611519720578,0.0347602014737945,0.0807024056266839,0.0301120586290569
"26","01","1kPa",1,"E1","04","DMSO","05","75/25","Galectin 3Fibronectin","G3FN",41,3.71357206670431,0.0890618739042058,0.0437459703770725,0.076630976802636,0.0382430902616128,0.0443493222359327,0.0486152638912857,0.0431264729903533,0.0419891505268395,0.0823092833992496,0.0621203129018338,0.0666342518178427,0.051036396676096
"27","01","1kPa",1,"E1","04","DMSO","06","75/25","Collagen IVOsteopontin","C4OPN",422,6.04500531403601,0.12565017510452,0.0411047074480614,0.106757550135689,0.0375568960579497,0.107457889543479,0.0534953950141139,0.0977700231110393,0.047468254150231,0.0907226615394785,0.0302646700683811,0.0713553773045884,0.0261964411270201
"28","01","1kPa",1,"E1","04","DMSO","07","50/50","Collagen IVFibronectin","C4FN",248,5.51342874616498,0.144052870758563,0.0427671542323324,0.123345492159158,0.0394185754496429,0.121546814938524,0.0650035321986241,0.110321911173273,0.0581673139336818,0.107267972489139,0.033687109136275,0.0855618047759689,0.0292904170419585
"29","01","1kPa",1,"E1","04","DMSO","08","75/25","Collagen IOsteopontin","C1OPN",44,3.78418963391826,0.147428638616941,0.0669154899811715,0.12755537488368,0.0638412852713344,0.0835832884823094,0.0862491030429805,0.0780171531282851,0.0751890699538833,0.122961347348736,0.0658021104921583,0.0989693932615998,0.0558133626860053
"30","01","1kPa",1,"E1","04","DMSO","09","50/50","DecorinFibronectin","DNFN",37,3.61091791264422,0.236612867033001,0.0781576172971213,0.213330392799351,0.0783785672219651,0.218876226648429,0.0597885614369103,0.196719243254125,0.0536354217400745,0.191127296649577,0.0441042128766467,0.156807260181324,0.0354711571540777
"31","01","1kPa",1,"E1","04","DMSO","10","25/75","OsteopontinFibronectin","OPNFN",51,3.93182563272433,0.231308222843113,0.07267464348127,0.207737265701253,0.0726701461425209,0.185088742805955,0.0855855006844547,0.166880088519402,0.0771063370301973,0.174357517464844,0.0320937063136583,0.143254596837542,0.02678789894013
"32","01","1kPa",1,"E1","04","DMSO","11","50/50","Collagen IOsteopontin","C1OPN",228,5.42934562895444,0.194498211253697,0.0681956623191953,0.171690507827066,0.0665687724614071,0.174069067524181,0.0908894686605409,0.157249272515575,0.0823548392981918,0.161073887882247,0.0403787168616304,0.13187536008342,0.0337193424936494
"33","01","1kPa",1,"E1","04","DMSO","12","25/75","Collagen IVGalectin 3","C4G3",186,5.2257466737132,0.212978829795034,0.0579163858922696,0.188972196166474,0.0570440874765729,0.171776005805474,0.0780284144705626,0.154979245047918,0.0703676006082219,0.168750402549398,0.0389450944753701,0.138381633540103,0.0322062250893907
"34","01","1kPa",1,"E1","05","DMSO","02","50/50","Collagen IVHyaluronic Acid","C4HA",123,4.81218435537242,0.170836593105342,0.0733042026410636,0.149665176868055,0.0712826922681474,0.131437667594432,0.0753591945147977,0.119143741061518,0.0673453019745173,0.200580531588075,0.0757622729485737,0.163223014853486,0.0599410942621713
"35","01","1kPa",1,"E1","05","DMSO","03","75/25","LamininHyaluronic Acid","LNHA",13,2.56494935746154,0.270712253341519,0.12293288982908,0.251291245258176,0.126086910823836,0.188481341093194,0.0680608894397526,0.169675972530816,0.0606889397588543,0.278200887529757,0.0977072748736948,0.223984038786914,0.0735674785380874
