,.y.,group1,group2,p,p.adj,p.format,p.signif,method
62,Mean_Red_Norm,C1DN,G3FN,0.020000451,1,0.02,*,Wilcoxon
63,Mean_Red_Norm,C1DN,C4FN,0.060482811,1,0.06048,ns,Wilcoxon
64,Mean_Red_Norm,C1DN,C1OPN,0.074133676,1,0.07413,ns,Wilcoxon
65,Mean_Red_Norm,C1DN,DNFN,0.000200037,0.2,0.0002,***,Wilcoxon
66,Mean_Red_Norm,C1DN,C4G3,0.013673664,1,0.01367,*,Wilcoxon
67,Mean_Red_Norm,C1DN,LNHA,0.009812427,1,0.00981,**,Wilcoxon
68,Mean_Red_Norm,C1DN,G3,0.003784491,1,0.00378,**,Wilcoxon
69,Mean_Red_Norm,C1DN,DNG3,0.005213179,1,0.00521,**,Wilcoxon
70,Mean_Red_Norm,C1DN,C1LN,0.2500185,1,0.25002,ns,Wilcoxon
71,Mean_Red_Norm,C1DN,TCG3,0.015554988,1,0.01555,*,Wilcoxon
72,Mean_Red_Norm,C1DN,TCFN,0.018797268,1,0.0188,*,Wilcoxon
73,Mean_Red_Norm,C1DN,C1TC,0.634173989,1,0.63417,ns,Wilcoxon
74,Mean_Red_Norm,C1DN,C4LN,0.045137965,1,0.04514,*,Wilcoxon
75,Mean_Red_Norm,C1DN,C1FN,0.198489351,1,0.19849,ns,Wilcoxon
76,Mean_Red_Norm,C1DN,C4TC,0.564102506,1,0.5641,ns,Wilcoxon
77,Mean_Red_Norm,C1DN,C4DN,0.010855151,1,0.01086,*,Wilcoxon
78,Mean_Red_Norm,C1DN,TCOPN,0.01657718,1,0.01658,*,Wilcoxon
79,Mean_Red_Norm,C1DN,TCHA,0.006944497,1,0.00694,**,Wilcoxon
80,Mean_Red_Norm,C1DN,C1HA,0.070507515,1,0.07051,ns,Wilcoxon
81,Mean_Red_Norm,C1DN,LNTC,0.003461717,1,0.00346,**,Wilcoxon
82,Mean_Red_Norm,C1DN,HA,0.053712968,1,0.05371,ns,Wilcoxon
83,Mean_Red_Norm,C1DN,HADN,0.031322793,1,0.03132,*,Wilcoxon
84,Mean_Red_Norm,C1DN,LNOPN,0.186900464,1,0.1869,ns,Wilcoxon
85,Mean_Red_Norm,C1DN,TC,0.014228842,1,0.01423,*,Wilcoxon
86,Mean_Red_Norm,C1DN,DN,0.009154036,1,0.00915,**,Wilcoxon
87,Mean_Red_Norm,C1DN,OPN,0.351714827,1,0.35171,ns,Wilcoxon
88,Mean_Red_Norm,C1C4,HAFN,0.897590512,1,0.89759,ns,Wilcoxon
89,Mean_Red_Norm,C1C4,HAG3,0.674607752,1,0.67461,ns,Wilcoxon
90,Mean_Red_Norm,C1C4,LNG3,0.268883171,1,0.26888,ns,Wilcoxon
91,Mean_Red_Norm,C1C4,TCDN,0.950918595,1,0.95092,ns,Wilcoxon
92,Mean_Red_Norm,C1C4,C4OPN,0.385008497,1,0.38501,ns,Wilcoxon
93,Mean_Red_Norm,C1C4,C1,0.680864561,1,0.68086,ns,Wilcoxon
94,Mean_Red_Norm,C1C4,OPNG3,0.02549935,1,0.0255,*,Wilcoxon
95,Mean_Red_Norm,C1C4,C4,0.188968125,1,0.18897,ns,Wilcoxon
96,Mean_Red_Norm,C1C4,HAOPN,0.534188246,1,0.53419,ns,Wilcoxon
97,Mean_Red_Norm,C1C4,FN,0.646685025,1,0.64669,ns,Wilcoxon
98,Mean_Red_Norm,C1C4,OPNDN,0.666441673,1,0.66644,ns,Wilcoxon
99,Mean_Red_Norm,C1C4,OPNFN,0.119248591,1,0.11925,ns,Wilcoxon
100,Mean_Red_Norm,C1C4,LNDN,0.050293198,1,0.05029,ns,Wilcoxon
101,Mean_Red_Norm,C1C4,LNFN,0.130408051,1,0.13041,ns,Wilcoxon
102,Mean_Red_Norm,C1C4,C1G3,0.043920236,1,0.04392,*,Wilcoxon
103,Mean_Red_Norm,C1C4,C4HA,0.512283856,1,0.51228,ns,Wilcoxon
104,Mean_Red_Norm,C1C4,G3FN,0.626210225,1,0.62621,ns,Wilcoxon
105,Mean_Red_Norm,C1C4,C4FN,0.198489351,1,0.19849,ns,Wilcoxon
106,Mean_Red_Norm,C1C4,C1OPN,0.179453636,1,0.17945,ns,Wilcoxon
107,Mean_Red_Norm,C1C4,DNFN,0.579352444,1,0.57935,ns,Wilcoxon
108,Mean_Red_Norm,C1C4,C4G3,0.699330692,1,0.69933,ns,Wilcoxon
109,Mean_Red_Norm,C1C4,LNHA,0.436103147,1,0.4361,ns,Wilcoxon
110,Mean_Red_Norm,C1C4,G3,0.769014545,1,0.76901,ns,Wilcoxon
111,Mean_Red_Norm,C1C4,DNG3,0.871081873,1,0.87108,ns,Wilcoxon
112,Mean_Red_Norm,C1C4,C1LN,0.085922049,1,0.08592,ns,Wilcoxon
113,Mean_Red_Norm,C1C4,TCG3,0.715991275,1,0.71599,ns,Wilcoxon
114,Mean_Red_Norm,C1C4,TCFN,0.54904612,1,0.54905,ns,Wilcoxon
115,Mean_Red_Norm,C1C4,C1TC,0.007987793,1,0.00799,**,Wilcoxon
116,Mean_Red_Norm,C1C4,C4LN,0.294265493,1,0.29427,ns,Wilcoxon
117,Mean_Red_Norm,C1C4,C1FN,0.034143393,1,0.03414,*,Wilcoxon
118,Mean_Red_Norm,C1C4,C4TC,0.013673664,1,0.01367,*,Wilcoxon
119,Mean_Red_Norm,C1C4,C4DN,0.366820337,1,0.36682,ns,Wilcoxon
120,Mean_Red_Norm,C1C4,TCOPN,0.724372501,1,0.72437,ns,Wilcoxon
121,Mean_Red_Norm,C1C4,TCHA,0.682811849,1,0.68281,ns,Wilcoxon
122,Mean_Red_Norm,C1C4,C1HA,0.269082429,1,0.26908,ns,Wilcoxon
123,Mean_Red_Norm,C1C4,LNTC,0.888740268,1,0.88874,ns,Wilcoxon
124,Mean_Red_Norm,C1C4,HA,0.756877305,1,0.75688,ns,Wilcoxon
125,Mean_Red_Norm,C1C4,HADN,0.483814475,1,0.48381,ns,Wilcoxon
126,Mean_Red_Norm,C1C4,LNOPN,0.155103871,1,0.1551,ns,Wilcoxon
127,Mean_Red_Norm,C1C4,TC,0.751108689,1,0.75111,ns,Wilcoxon
128,Mean_Red_Norm,C1C4,DN,0.502440101,1,0.50244,ns,Wilcoxon
129,Mean_Red_Norm,C1C4,OPN,0.517611005,1,0.51761,ns,Wilcoxon
130,Mean_Red_Norm,HAFN,HAG3,0.906453354,1,0.90645,ns,Wilcoxon
131,Mean_Red_Norm,HAFN,LNG3,0.406698718,1,0.4067,ns,Wilcoxon
132,Mean_Red_Norm,HAFN,TCDN,0.942009041,1,0.94201,ns,Wilcoxon
133,Mean_Red_Norm,HAFN,C4OPN,0.5717036,1,0.5717,ns,Wilcoxon
134,Mean_Red_Norm,HAFN,C1,0.860172478,1,0.86017,ns,Wilcoxon
135,Mean_Red_Norm,HAFN,OPNG3,0.024015881,1,0.02402,*,Wilcoxon
136,Mean_Red_Norm,HAFN,C4,0.304681951,1,0.30468,ns,Wilcoxon
137,Mean_Red_Norm,HAFN,HAOPN,0.749708984,1,0.74971,ns,Wilcoxon
138,Mean_Red_Norm,HAFN,FN,0.66368967,1,0.66369,ns,Wilcoxon
139,Mean_Red_Norm,HAFN,OPNDN,0.436103147,1,0.4361,ns,Wilcoxon
140,Mean_Red_Norm,HAFN,OPNFN,0.210588215,1,0.21059,ns,Wilcoxon
141,Mean_Red_Norm,HAFN,LNDN,0.096848043,1,0.09685,ns,Wilcoxon
142,Mean_Red_Norm,HAFN,LNFN,0.206498096,1,0.2065,ns,Wilcoxon
143,Mean_Red_Norm,HAFN,C1G3,0.070507515,1,0.07051,ns,Wilcoxon
144,Mean_Red_Norm,HAFN,C4HA,0.741232281,1,0.74123,ns,Wilcoxon
145,Mean_Red_Norm,HAFN,G3FN,0.950918595,1,0.95092,ns,Wilcoxon
146,Mean_Red_Norm,HAFN,C4FN,0.349170897,1,0.34917,ns,Wilcoxon
147,Mean_Red_Norm,HAFN,C1OPN,0.284011125,1,0.28401,ns,Wilcoxon
148,Mean_Red_Norm,HAFN,DNFN,0.602578795,1,0.60258,ns,Wilcoxon
149,Mean_Red_Norm,HAFN,C4G3,1,1,1,ns,Wilcoxon
150,Mean_Red_Norm,HAFN,LNHA,0.52683523,1,0.52684,ns,Wilcoxon
151,Mean_Red_Norm,HAFN,G3,0.715693892,1,0.71569,ns,Wilcoxon
152,Mean_Red_Norm,HAFN,DNG3,0.505086576,1,0.50509,ns,Wilcoxon
153,Mean_Red_Norm,HAFN,C1LN,0.072302225,1,0.0723,ns,Wilcoxon
154,Mean_Red_Norm,HAFN,TCG3,0.871081873,1,0.87108,ns,Wilcoxon
155,Mean_Red_Norm,HAFN,TCFN,0.801164601,1,0.80116,ns,Wilcoxon
156,Mean_Red_Norm,HAFN,C1TC,0.010497264,1,0.0105,*,Wilcoxon
157,Mean_Red_Norm,HAFN,C4LN,0.52683523,1,0.52684,ns,Wilcoxon
158,Mean_Red_Norm,HAFN,C1FN,0.041566806,1,0.04157,*,Wilcoxon
159,Mean_Red_Norm,HAFN,C4TC,0.020626521,1,0.02063,*,Wilcoxon
160,Mean_Red_Norm,HAFN,C4DN,0.512283856,1,0.51228,ns,Wilcoxon
161,Mean_Red_Norm,HAFN,TCOPN,0.933106647,1,0.93311,ns,Wilcoxon
