,Metadata_Stiffness,Condition,Metadata_Treatment,Mean_PXR,Mean_Vim,Mean_Ecad,Rank_PXR,Rank_Vim,Rank_Ecad,
73,1kPa,25LN_75TC,10 uM,0.112363707,0.069956016,0.036015352,,,,
258,25kPa,25C1_75FN,DMSO,0.183233603,0.127109141,0.106490576,34,43,25,
75,1kPa,25OPN_75DN,10 uM,0.126820609,0.079152576,0.043347551,,,,
300,25kPa,25LN_75FN,DMSO,0.158484326,0.127047258,0.078178764,104,44,160,
77,1kPa,25OPN_75FN,10 uM,0.113298073,0.089584911,0.03884616,,,,
356,25kPa,50DN_50FN,DMSO,0.130461918,0.126627065,0.078130044,285,45,161,
79,1kPa,25OPN_75G3,10 uM,0.129199219,0.100203374,0.051747897,,,,
434,25kPa,75HA_25DN,DMSO,0.167511852,0.125371514,0.079110246,67,46,152,
81,1kPa,25TC_75DN,10 uM,0.135784985,0.096074101,0.049331429,,,,
450,25kPa,75LN_25OPN,DMSO,0.205031178,0.125203301,0.130127741,8,47,2,
83,1kPa,25TC_75FN,10 uM,0.131605901,0.097254788,0.054472562,,,,
372,25kPa,50LN_50FN,DMSO,0.136848911,0.124661931,0.076867032,234,48,166,
85,1kPa,25TC_75G3,10 uM,0.153389776,0.104328751,0.047703562,,,,
410,25kPa,75C1_25OPN,DMSO,0.161750887,0.12413641,0.088449913,94,49,94,
87,1kPa,25TC_75HA,10 uM,0.144190726,0.096383657,0.056841129,,,,
462,25kPa,75TC_25FN,DMSO,0.14069806,0.122907513,0.079084761,217,50,153,
89,1kPa,25TC_75OPN,10 uM,0.107086421,0.060593092,0.031879651,,,,
264,25kPa,25C1_75LN,DMSO,0.174902995,0.122491312,0.101144272,45,51,42,
91,1kPa,50C1_50C4,10 uM,0.149411313,0.115627191,0.059194151,,,,
212,1kPa,75LN_25G3,DMSO,0.211216785,0.122479004,0.117154675,3,52,10,
93,1kPa,50C1_50DN,10 uM,0.141695182,0.086918939,0.061688127,,,,
466,25kPa,75TC_25HA,DMSO,0.17801821,0.122268525,0.094366006,39,54,66,
95,1kPa,50C1_50FN,10 uM,0.130985041,0.076848317,0.047535234,,,,
392,25kPa,50TC_50G3,DMSO,0.145542668,0.121774762,0.081581097,181,55,143,
97,1kPa,50C1_50G3,10 uM,0.146437489,0.082313988,0.054486006,,,,
326,25kPa,50C1_50C4,DMSO,0.142212676,0.121683212,0.087129136,204,57,107,
99,1kPa,50C1_50HA,10 uM,0.115652477,0.069591328,0.034460887,,,,
322,25kPa,25TC_75HA,DMSO,0.127014723,0.121488151,0.059619421,310,58,250,
101,1kPa,50C1_50LN,10 uM,0.133114107,0.079600636,0.05173883,,,,
296,25kPa,25HA_75OPN,DMSO,0.147379474,0.121035756,0.083010875,165,60,133,
103,1kPa,50C1_50OPN,10 uM,0.14890975,0.095144507,0.06131732,,,,
152,1kPa,50OPN_50G3,DMSO,0.178416791,0.120939783,0.08939454,38,62,87,
105,1kPa,50C1_50TC,10 uM,0.122955441,0.079251484,0.044376208,,,,
348,25kPa,50C4_50HA,DMSO,0.145748302,0.120861119,0.081976289,178,63,139,
107,1kPa,50C4_50DN,10 uM,0.143112135,0.095885491,0.060173216,,,,
