"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"55","Mean_Orange_Norm","C1DN","FN",0.823420278524008,1,"0.82342","ns","Wilcoxon"
"56","Mean_Orange_Norm","C1DN","OPNDN",0.666441672753929,1,"0.66644","ns","Wilcoxon"
"57","Mean_Orange_Norm","C1DN","OPNFN",0.853486711112679,1,"0.85349","ns","Wilcoxon"
"58","Mean_Orange_Norm","C1DN","LNDN",0.136279569153611,1,"0.13628","ns","Wilcoxon"
"59","Mean_Orange_Norm","C1DN","LNFN",0.715991275320253,1,"0.71599","ns","Wilcoxon"
"60","Mean_Orange_Norm","C1DN","C1G3",0.995535294657666,1,"0.99554","ns","Wilcoxon"
"61","Mean_Orange_Norm","C1DN","C4HA",0.741232281214897,1,"0.74123","ns","Wilcoxon"
"62","Mean_Orange_Norm","C1DN","G3FN",0.691053114977269,1,"0.69105","ns","Wilcoxon"
"63","Mean_Orange_Norm","C1DN","C4FN",0.0991594894325197,1,"0.09916","ns","Wilcoxon"
"64","Mean_Orange_Norm","C1DN","C1OPN",0.579352443925653,1,"0.57935","ns","Wilcoxon"
"65","Mean_Orange_Norm","C1DN","DNFN",0.0779088071717314,1,"0.07791","ns","Wilcoxon"
"66","Mean_Orange_Norm","C1DN","C4G3",0.0322402320522086,1,"0.03224","*","Wilcoxon"
"67","Mean_Orange_Norm","C1DN","LNHA",0.223204873302759,1,"0.22320","ns","Wilcoxon"
"68","Mean_Orange_Norm","C1DN","G3",0.125764175045543,1,"0.12576","ns","Wilcoxon"
"69","Mean_Orange_Norm","C1DN","DNG3",0.0968480433044131,1,"0.09685","ns","Wilcoxon"
"70","Mean_Orange_Norm","C1DN","C1LN",0.0687490441288069,1,"0.06875","ns","Wilcoxon"
"71","Mean_Orange_Norm","C1DN","TCG3",0.579165920303096,1,"0.57917","ns","Wilcoxon"
"72","Mean_Orange_Norm","C1DN","TCFN",0.320961235546248,1,"0.32096","ns","Wilcoxon"
"73","Mean_Orange_Norm","C1DN","C1TC",0.304761991314993,1,"0.30476","ns","Wilcoxon"
"74","Mean_Orange_Norm","C1DN","C4LN",0.124732275265831,1,"0.12473","ns","Wilcoxon"
"75","Mean_Orange_Norm","C1DN","C1FN",0.236346286935222,1,"0.23635","ns","Wilcoxon"
"76","Mean_Orange_Norm","C1DN","C4TC",0.158422145366746,1,"0.15842","ns","Wilcoxon"
"77","Mean_Orange_Norm","C1DN","C4DN",0.0136736644270194,1,"0.01367","*","Wilcoxon"
"78","Mean_Orange_Norm","C1DN","TCOPN",0.119248590802994,1,"0.11925","ns","Wilcoxon"
"79","Mean_Orange_Norm","C1DN","TCHA",0.674607752461998,1,"0.67461","ns","Wilcoxon"
"80","Mean_Orange_Norm","C1DN","C1HA",0.0439202355522263,1,"0.04392","*","Wilcoxon"
"81","Mean_Orange_Norm","C1DN","LNTC",0.0427300029844377,1,"0.04273","*","Wilcoxon"
"82","Mean_Orange_Norm","C1DN","HA",0.16578094521717,1,"0.16578","ns","Wilcoxon"
"83","Mean_Orange_Norm","C1DN","HADN",0.124732275265831,1,"0.12473","ns","Wilcoxon"
"84","Mean_Orange_Norm","C1DN","LNOPN",0.512283856474465,1,"0.51228","ns","Wilcoxon"
"85","Mean_Orange_Norm","C1DN","TC",0.402972532641621,1,"0.40297","ns","Wilcoxon"
"86","Mean_Orange_Norm","C1DN","DN",0.061000739666083,1,"0.06100","ns","Wilcoxon"
"87","Mean_Orange_Norm","C1DN","OPN",0.0514529526331072,1,"0.05145","ns","Wilcoxon"
"88","Mean_Orange_Norm","C1C4","HAFN",0.505086575956326,1,"0.50509","ns","Wilcoxon"
"89","Mean_Orange_Norm","C1C4","HAG3",0.294265493106756,1,"0.29427","ns","Wilcoxon"
"90","Mean_Orange_Norm","C1C4","LNG3",0.190707278425509,1,"0.19071","ns","Wilcoxon"
"91","Mean_Orange_Norm","C1C4","TCDN",0.724372501457536,1,"0.72437","ns","Wilcoxon"
