"","Metadata_Slide","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1","01","1kPa","E1","02","DMSO","02","100","Laminin","LN",26,28.6181760425084,2.85162475279464,1.07354535972461,0.174483951320231,0.104682174885197,0.154853463649096,0.100177729154689,0.164895063185494,0.129017379421506,0.149491315198096,0.117817335438971,0.318349457696885,0.137572072264146,0.247574129395277,0.0970693096728374
"2","01","1kPa","E1","02","DMSO","03","75/25","Collagen IDecorin","C1DN",209.333333333333,37.233497463082,5.33256666846898,0.187954170698952,0.199976699847308,0.0611652858119044,0.175587468444575,0.0583435875034314,0.159426579176434,0.0790203028207239,0.143359702948248,0.0711607553785416,0.22734790364824,0.0714354483858196,0.181147522091325,0.0534032310450548
"3","01","1kPa","E1","02","DMSO","04","50/50","Collagen ICollagen IV","C1C4",285,31.1929479209644,5.64864147080752,0.106413549412808,0.148739176943925,0.0501068018262118,0.127971870688513,0.0468658100761312,0.106759454087656,0.0580815666756763,0.0967817328380134,0.0515681209893337,0.166764482000672,0.0612821363866139,0.134534988114906,0.047365915543228
"4","01","1kPa","E1","02","DMSO","05","25/75","Hyaluronic AcidFibronectin","HAFN",5.33333333333333,1.15470053837925,1.656604433192,0.234095389313249,0.135255927285667,0.050231742586003,0.116154817426155,0.0450722240128801,0.0894219384425047,0.0575360385500039,0.081728639053668,0.0505272941045037,0.244354738441758,0.0701702691640978,0.195655086387907,0.0528876280994152
"5","01","1kPa","E1","02","DMSO","06","75/25","Hyaluronic AcidGalectin 3","HAG3",46.6666666666667,40.6734966942029,3.25359041677818,1.6371718370659,0.183405836197878,0.0917809063315742,0.162381758865578,0.0898743249411149,0.117150968440182,0.0765991954911543,0.106848364338676,0.0685280580903443,0.318711920841628,0.165923841114945,0.246408706369241,0.115905609436176
"6","01","1kPa","E1","02","DMSO","07","25/75","LamininGalectin 3","LNG3",327.333333333333,554.856137510737,3.35109530587484,3.18076335797141,0.189715100914834,0.0789483102267303,0.168055438705423,0.0732190473876146,0.137960160263804,0.0752627032042235,0.124367644224043,0.0667224894933096,0.192474025366258,0.0866697696095929,0.154297975057294,0.0674201653163477
"7","01","1kPa","E1","02","DMSO","08","50/50","Tenascin CDecorin","TCDN",32.3333333333333,41.5250928154692,2.77775678441844,1.50916142755812,0.180921924639046,0.100763083908204,0.160256619804487,0.0963125130232365,0.15631930415763,0.156126503043738,0.142044656242806,0.141546619428004,0.225382454214103,0.0646762267702692,0.180893907772461,0.0489438169841502
"8","01","1kPa","E1","02","DMSO","09","75/25","LamininGalectin 3","LNG3",32.3333333333333,26.5769323537035,3.26869840217583,0.759570519901224,0.166107788708422,0.0520434163696012,0.144286927011088,0.0483542208175119,0.099217711967137,0.0443104115711967,0.0906857497685643,0.0386624397432202,0.263672968883441,0.129421675281698,0.20733332319768,0.0900725934967107
"9","01","1kPa","E1","02","DMSO","10","50/50","Collagen IVOsteopontin","C4OPN",253.666666666667,15.5349069303081,5.53478955027835,0.060551845465045,0.193891309763066,0.062711940113466,0.169872676998787,0.060310377434757,0.160353620089203,0.090601629784682,0.144415913773065,0.0819402676229876,0.177478839365638,0.052569398043793,0.143679943729462,0.0415767400903727
"10","01","1kPa","E1","02","DMSO","11","100","Collagen I","C1",348.333333333333,24.7857485933617,5.85142557256114,0.0726154677608114,0.183578480059009,0.0678257881253932,0.160717912797708,0.0643142131051742,0.151414635945985,0.0838435253151415,0.136418388834179,0.0754191220823269,0.181708726423664,0.0645785599508228,0.146671859358141,0.0491854908480176
"11","01","1kPa","E1","02","DMSO","12","50/50","OsteopontinGalectin 3","OPNG3",182.333333333333,290.70661040529,3.8560317453679,2.08051760099504,0.149734437179263,0.0656955871321372,0.131907069137012,0.0614035251712482,0.110205182439562,0.0626091429675993,0.100521429352238,0.0559642333862935,0.18699499199897,0.0796929795806174,0.15024424464495,0.0601121695118632
"12","01","1kPa","E1","03","DMSO","02","100","Collagen IV","C4",327.333333333333,117.721422576069,5.74606333518298,0.370893543368236,0.152498781916675,0.0501423706817762,0.131234160942357,0.0469286437325205,0.117288143488225,0.0750042308984299,0.106211176652763,0.0670871211231444,0.215575762509269,0.0759992106488986,0.172994251904091,0.0573081851651747
"13","01","1kPa","E1","03","DMSO","03","25/75","Collagen ICollagen IV","C1C4",361.666666666667,93.8314090980911,5.86988635785141,0.24500068049014,0.140567271132676,0.0456413220309706,0.120541140077087,0.0422975040102549,0.109384817730643,0.058290227919945,0.0990684817071214,0.0516680918961422,0.127225452501635,0.0449186400293165,0.101784814578848,0.0362301731157266
"14","01","1kPa","E1","03","DMSO","04","50/50","Hyaluronic AcidOsteopontin","HAOPN",31.3333333333333,33.8575447032612,3.00920624505363,1.16133744171137,0.180236963771349,0.0687340151830618,0.158744768067279,0.0645187930493981,0.129554115406558,0.0826952879950652,0.117364269296151,0.0735098581423399,0.19068721854985,0.0794785683219877,0.152763810785032,0.0605808190013455
"15","01","1kPa","E1","03","DMSO","05","100","Fibronectin","FN",8,9.89949493661167,1.35402510055111,1.91488066099297,0.104012726055877,NA,0.0905321328328838,NA,0.0657465731351159,NA,0.0608788373028756,NA,0.116149308911323,NA,0.0924479025147657,NA
