,.y.,group1,group2,p,p.adj,p.format,p.signif,method
62,Mean_Red_Norm,C1DN,G3FN,0.00320724,1,0.00321,**,Wilcoxon
63,Mean_Red_Norm,C1DN,C4FN,0.057412568,1,0.05741,ns,Wilcoxon
64,Mean_Red_Norm,C1DN,C1OPN,0.413220222,1,0.41322,ns,Wilcoxon
65,Mean_Red_Norm,C1DN,DNFN,0.005406148,1,0.00541,**,Wilcoxon
66,Mean_Red_Norm,C1DN,C4G3,0.042730003,1,0.04273,*,Wilcoxon
67,Mean_Red_Norm,C1DN,LNHA,0.024015881,1,0.02402,*,Wilcoxon
68,Mean_Red_Norm,C1DN,G3,0.024585708,1,0.02459,*,Wilcoxon
69,Mean_Red_Norm,C1DN,DNG3,0.001445769,1,0.00145,**,Wilcoxon
70,Mean_Red_Norm,C1DN,C1LN,0.749708984,1,0.74971,ns,Wilcoxon
71,Mean_Red_Norm,C1DN,TCG3,0.01199379,1,0.01199,*,Wilcoxon
72,Mean_Red_Norm,C1DN,TCFN,0.013673664,1,0.01367,*,Wilcoxon
73,Mean_Red_Norm,C1DN,C1TC,0.602578795,1,0.60258,ns,Wilcoxon
74,Mean_Red_Norm,C1DN,C4LN,0.053048023,1,0.05305,ns,Wilcoxon
75,Mean_Red_Norm,C1DN,C1FN,0.259430745,1,0.25943,ns,Wilcoxon
76,Mean_Red_Norm,C1DN,C4TC,0.416505575,1,0.41651,ns,Wilcoxon
77,Mean_Red_Norm,C1DN,C4DN,0.008269329,1,0.00827,**,Wilcoxon
78,Mean_Red_Norm,C1DN,TCOPN,0.00320724,1,0.00321,**,Wilcoxon
79,Mean_Red_Norm,C1DN,TCHA,0.005605453,1,0.00561,**,Wilcoxon
80,Mean_Red_Norm,C1DN,C1HA,0.299483454,1,0.29948,ns,Wilcoxon
81,Mean_Red_Norm,C1DN,LNTC,0.002349052,1,0.00235,**,Wilcoxon
82,Mean_Red_Norm,C1DN,HA,0.03825985,1,0.03826,*,Wilcoxon
83,Mean_Red_Norm,C1DN,HADN,0.018219466,1,0.01822,*,Wilcoxon
84,Mean_Red_Norm,C1DN,LNOPN,0.183149362,1,0.18315,ns,Wilcoxon
85,Mean_Red_Norm,C1DN,TC,0.01881071,1,0.01881,*,Wilcoxon
86,Mean_Red_Norm,C1DN,DN,0.000861621,0.85,0.00086,***,Wilcoxon
87,Mean_Red_Norm,C1DN,OPN,0.487501269,1,0.4875,ns,Wilcoxon
88,Mean_Red_Norm,C1C4,HAFN,0.610885122,1,0.61089,ns,Wilcoxon
89,Mean_Red_Norm,C1C4,HAG3,0.710259281,1,0.71026,ns,Wilcoxon
90,Mean_Red_Norm,C1C4,LNG3,0.125212855,1,0.12521,ns,Wilcoxon
91,Mean_Red_Norm,C1C4,TCDN,0.788244223,1,0.78824,ns,Wilcoxon
92,Mean_Red_Norm,C1C4,C4OPN,0.111542082,1,0.11154,ns,Wilcoxon
93,Mean_Red_Norm,C1C4,C1,0.491921968,1,0.49192,ns,Wilcoxon
94,Mean_Red_Norm,C1C4,OPNG3,0.10278437,1,0.10278,ns,Wilcoxon
95,Mean_Red_Norm,C1C4,C4,0.621427216,1,0.62143,ns,Wilcoxon
96,Mean_Red_Norm,C1C4,HAOPN,0.735968041,1,0.73597,ns,Wilcoxon
97,Mean_Red_Norm,C1C4,FN,0.65591614,1,0.65592,ns,Wilcoxon
98,Mean_Red_Norm,C1C4,OPNDN,0.362770631,1,0.36277,ns,Wilcoxon
99,Mean_Red_Norm,C1C4,OPNFN,0.488889207,1,0.48889,ns,Wilcoxon
100,Mean_Red_Norm,C1C4,LNDN,0.06135314,1,0.06135,ns,Wilcoxon
101,Mean_Red_Norm,C1C4,LNFN,0.0270027,1,0.027,*,Wilcoxon
102,Mean_Red_Norm,C1C4,C1G3,0.021780472,1,0.02178,*,Wilcoxon
103,Mean_Red_Norm,C1C4,C4HA,0.226519221,1,0.22652,ns,Wilcoxon
104,Mean_Red_Norm,C1C4,G3FN,0.913547069,1,0.91355,ns,Wilcoxon
105,Mean_Red_Norm,C1C4,C4FN,0.273901614,1,0.2739,ns,Wilcoxon
106,Mean_Red_Norm,C1C4,C1OPN,0.04163057,1,0.04163,*,Wilcoxon
107,Mean_Red_Norm,C1C4,DNFN,0.841479671,1,0.84148,ns,Wilcoxon
108,Mean_Red_Norm,C1C4,C4G3,0.305334214,1,0.30533,ns,Wilcoxon
109,Mean_Red_Norm,C1C4,LNHA,0.294604377,1,0.2946,ns,Wilcoxon
110,Mean_Red_Norm,C1C4,G3,0.894703688,1,0.8947,ns,Wilcoxon
111,Mean_Red_Norm,C1C4,DNG3,0.602884218,1,0.60288,ns,Wilcoxon
112,Mean_Red_Norm,C1C4,C1LN,0.013431868,1,0.01343,*,Wilcoxon
113,Mean_Red_Norm,C1C4,TCG3,0.859397911,1,0.8594,ns,Wilcoxon
114,Mean_Red_Norm,C1C4,TCFN,0.922617493,1,0.92262,ns,Wilcoxon
115,Mean_Red_Norm,C1C4,C1TC,0.003281705,1,0.00328,**,Wilcoxon
116,Mean_Red_Norm,C1C4,C4LN,0.25903421,1,0.25903,ns,Wilcoxon
117,Mean_Red_Norm,C1C4,C1FN,0.03229351,1,0.03229,*,Wilcoxon
118,Mean_Red_Norm,C1C4,C4TC,0.012147808,1,0.01215,*,Wilcoxon
119,Mean_Red_Norm,C1C4,C4DN,0.460553021,1,0.46055,ns,Wilcoxon
120,Mean_Red_Norm,C1C4,TCOPN,0.74460457,1,0.7446,ns,Wilcoxon
121,Mean_Red_Norm,C1C4,TCHA,0.895440689,1,0.89544,ns,Wilcoxon
122,Mean_Red_Norm,C1C4,C1HA,0.06135314,1,0.06135,ns,Wilcoxon
123,Mean_Red_Norm,C1C4,LNTC,0.895440689,1,0.89544,ns,Wilcoxon
124,Mean_Red_Norm,C1C4,HA,0.894703688,1,0.8947,ns,Wilcoxon
125,Mean_Red_Norm,C1C4,HADN,0.779458771,1,0.77946,ns,Wilcoxon
126,Mean_Red_Norm,C1C4,LNOPN,0.075481417,1,0.07548,ns,Wilcoxon
127,Mean_Red_Norm,C1C4,TC,0.621427216,1,0.62143,ns,Wilcoxon
128,Mean_Red_Norm,C1C4,DN,0.100065027,1,0.10007,ns,Wilcoxon
129,Mean_Red_Norm,C1C4,OPN,0.170287842,1,0.17029,ns,Wilcoxon
130,Mean_Red_Norm,HAFN,HAG3,0.933106647,1,0.93311,ns,Wilcoxon
131,Mean_Red_Norm,HAFN,LNG3,0.269082429,1,0.26908,ns,Wilcoxon
132,Mean_Red_Norm,HAFN,TCDN,0.52683523,1,0.52684,ns,Wilcoxon
133,Mean_Red_Norm,HAFN,C4OPN,0.315500879,1,0.3155,ns,Wilcoxon
134,Mean_Red_Norm,HAFN,C1,0.823420279,1,0.82342,ns,Wilcoxon
135,Mean_Red_Norm,HAFN,OPNG3,0.321902868,1,0.3219,ns,Wilcoxon
136,Mean_Red_Norm,HAFN,C4,0.860172478,1,0.86017,ns,Wilcoxon
