,.y.,group1,group2,p,p.adj,p.format,p.signif,method
61,Mean_Orange_Norm,C1DN,C4HA,0.950918595,1,0.95092,ns,Wilcoxon
62,Mean_Orange_Norm,C1DN,G3FN,0.835963233,1,0.83596,ns,Wilcoxon
63,Mean_Orange_Norm,C1DN,C4FN,0.103912587,1,0.10391,ns,Wilcoxon
64,Mean_Orange_Norm,C1DN,C1OPN,0.429513014,1,0.42951,ns,Wilcoxon
65,Mean_Orange_Norm,C1DN,DNFN,0.127545922,1,0.12755,ns,Wilcoxon
66,Mean_Orange_Norm,C1DN,C4G3,0.012809706,1,0.01281,*,Wilcoxon
67,Mean_Orange_Norm,C1DN,LNHA,0.715991275,1,0.71599,ns,Wilcoxon
68,Mean_Orange_Norm,C1DN,G3,0.13819521,1,0.1382,ns,Wilcoxon
69,Mean_Orange_Norm,C1DN,DNG3,0.52683523,1,0.52684,ns,Wilcoxon
70,Mean_Orange_Norm,C1DN,C1LN,0.039319691,1,0.03932,*,Wilcoxon
71,Mean_Orange_Norm,C1DN,TCG3,0.39119014,1,0.39119,ns,Wilcoxon
72,Mean_Orange_Norm,C1DN,TCFN,0.642179802,1,0.64218,ns,Wilcoxon
73,Mean_Orange_Norm,C1DN,C1TC,0.610411885,1,0.61041,ns,Wilcoxon
74,Mean_Orange_Norm,C1DN,C4LN,0.024015881,1,0.02402,*,Wilcoxon
75,Mean_Orange_Norm,C1DN,C1FN,0.642179802,1,0.64218,ns,Wilcoxon
76,Mean_Orange_Norm,C1DN,C4TC,0.083859611,1,0.08386,ns,Wilcoxon
77,Mean_Orange_Norm,C1DN,C4DN,0.019390815,1,0.01939,*,Wilcoxon
78,Mean_Orange_Norm,C1DN,TCOPN,0.490851397,1,0.49085,ns,Wilcoxon
79,Mean_Orange_Norm,C1DN,TCHA,0.223204873,1,0.2232,ns,Wilcoxon
80,Mean_Orange_Norm,C1DN,C1HA,0.096848043,1,0.09685,ns,Wilcoxon
81,Mean_Orange_Norm,C1DN,LNTC,0.505086576,1,0.50509,ns,Wilcoxon
82,Mean_Orange_Norm,C1DN,HA,0.338389782,1,0.33839,ns,Wilcoxon
83,Mean_Orange_Norm,C1DN,HADN,0.986606436,1,0.98661,ns,Wilcoxon
84,Mean_Orange_Norm,C1DN,LNOPN,0.587048377,1,0.58705,ns,Wilcoxon
85,Mean_Orange_Norm,C1DN,TC,0.15152396,1,0.15152,ns,Wilcoxon
86,Mean_Orange_Norm,C1DN,DN,0.13819521,1,0.1382,ns,Wilcoxon
87,Mean_Orange_Norm,C1DN,OPN,0.188968125,1,0.18897,ns,Wilcoxon
88,Mean_Orange_Norm,C1C4,HAFN,0.385008497,1,0.38501,ns,Wilcoxon
89,Mean_Orange_Norm,C1C4,HAG3,0.116577623,1,0.11658,ns,Wilcoxon
90,Mean_Orange_Norm,C1C4,LNG3,0.007208424,1,0.00721,**,Wilcoxon
91,Mean_Orange_Norm,C1C4,TCDN,0.124732275,1,0.12473,ns,Wilcoxon
92,Mean_Orange_Norm,C1C4,C4OPN,0.658314443,1,0.65831,ns,Wilcoxon
93,Mean_Orange_Norm,C1C4,C1,0.805179387,1,0.80518,ns,Wilcoxon
94,Mean_Orange_Norm,C1C4,OPNG3,0.000908423,0.88,0.00091,***,Wilcoxon
95,Mean_Orange_Norm,C1C4,C4,0.103464036,1,0.10346,ns,Wilcoxon
96,Mean_Orange_Norm,C1C4,HAOPN,0.037175267,1,0.03718,*,Wilcoxon
97,Mean_Orange_Norm,C1C4,FN,0.402972533,1,0.40297,ns,Wilcoxon
98,Mean_Orange_Norm,C1C4,OPNDN,0.124732275,1,0.12473,ns,Wilcoxon
99,Mean_Orange_Norm,C1C4,OPNFN,0.013235538,1,0.01324,*,Wilcoxon
100,Mean_Orange_Norm,C1C4,LNDN,0.000585458,0.57,0.00059,***,Wilcoxon
101,Mean_Orange_Norm,C1C4,LNFN,0.385008497,1,0.38501,ns,Wilcoxon
102,Mean_Orange_Norm,C1C4,C1G3,0.183149362,1,0.18315,ns,Wilcoxon
103,Mean_Orange_Norm,C1C4,C4HA,0.116577623,1,0.11658,ns,Wilcoxon
104,Mean_Orange_Norm,C1C4,G3FN,0.231907117,1,0.23191,ns,Wilcoxon
105,Mean_Orange_Norm,C1C4,C4FN,0.906453354,1,0.90645,ns,Wilcoxon
106,Mean_Orange_Norm,C1C4,C1OPN,0.062067567,1,0.06207,ns,Wilcoxon
107,Mean_Orange_Norm,C1C4,DNFN,0.732786477,1,0.73279,ns,Wilcoxon
108,Mean_Orange_Norm,C1C4,C4G3,0.505086576,1,0.50509,ns,Wilcoxon
109,Mean_Orange_Norm,C1C4,LNHA,0.349170897,1,0.34917,ns,Wilcoxon
110,Mean_Orange_Norm,C1C4,G3,0.698201912,1,0.6982,ns,Wilcoxon
111,Mean_Orange_Norm,C1C4,DNG3,0.490851397,1,0.49085,ns,Wilcoxon
112,Mean_Orange_Norm,C1C4,C1LN,0.682811849,1,0.68281,ns,Wilcoxon
113,Mean_Orange_Norm,C1C4,TCG3,0.618289274,1,0.61829,ns,Wilcoxon
114,Mean_Orange_Norm,C1C4,TCFN,0.264226587,1,0.26423,ns,Wilcoxon
115,Mean_Orange_Norm,C1C4,C1TC,0.063686072,1,0.06369,ns,Wilcoxon
116,Mean_Orange_Norm,C1C4,C4LN,0.579352444,1,0.57935,ns,Wilcoxon
117,Mean_Orange_Norm,C1C4,C1FN,0.320961236,1,0.32096,ns,Wilcoxon
118,Mean_Orange_Norm,C1C4,C4TC,0.942009041,1,0.94201,ns,Wilcoxon
119,Mean_Orange_Norm,C1C4,C4DN,0.587048377,1,0.58705,ns,Wilcoxon
120,Mean_Orange_Norm,C1C4,TCOPN,0.556549803,1,0.55655,ns,Wilcoxon
121,Mean_Orange_Norm,C1C4,TCHA,0.020626521,1,0.02063,*,Wilcoxon
122,Mean_Orange_Norm,C1C4,C1HA,0.942009041,1,0.94201,ns,Wilcoxon
123,Mean_Orange_Norm,C1C4,LNTC,0.556549803,1,0.55655,ns,Wilcoxon
124,Mean_Orange_Norm,C1C4,HA,0.041917316,1,0.04192,*,Wilcoxon
125,Mean_Orange_Norm,C1C4,HADN,0.151837971,1,0.15184,ns,Wilcoxon
126,Mean_Orange_Norm,C1C4,LNOPN,0.385008497,1,0.38501,ns,Wilcoxon
127,Mean_Orange_Norm,C1C4,TC,0.629857967,1,0.62986,ns,Wilcoxon
128,Mean_Orange_Norm,C1C4,DN,0.564465735,1,0.56447,ns,Wilcoxon
129,Mean_Orange_Norm,C1C4,OPN,0.878664794,1,0.87866,ns,Wilcoxon
130,Mean_Orange_Norm,HAFN,HAG3,0.476831957,1,0.47683,ns,Wilcoxon
131,Mean_Orange_Norm,HAFN,LNG3,0.03325542,1,0.03326,*,Wilcoxon
132,Mean_Orange_Norm,HAFN,TCDN,0.469904288,1,0.4699,ns,Wilcoxon
133,Mean_Orange_Norm,HAFN,C4OPN,0.139289851,1,0.13929,ns,Wilcoxon
134,Mean_Orange_Norm,HAFN,C1,0.458337469,1,0.45834,ns,Wilcoxon
135,Mean_Orange_Norm,HAFN,OPNG3,0.006469619,1,0.00647,**,Wilcoxon
136,Mean_Orange_Norm,HAFN,C4,0.472798955,1,0.4728,ns,Wilcoxon
137,Mean_Orange_Norm,HAFN,HAOPN,0.175812937,1,0.17581,ns,Wilcoxon
138,Mean_Orange_Norm,HAFN,FN,0.897221795,1,0.89722,ns,Wilcoxon
139,Mean_Orange_Norm,HAFN,OPNDN,0.594790724,1,0.59479,ns,Wilcoxon
140,Mean_Orange_Norm,HAFN,OPNFN,0.151837971,1,0.15184,ns,Wilcoxon
141,Mean_Orange_Norm,HAFN,LNDN,0.002856973,1,0.00286,**,Wilcoxon
