"","Abb_ECM","Metadata_Ratio","Mean_Green","Mean_Orange","Mean_Red"
"106","TCFN","25/75",0.147949858858961,0.115630451926739,0.0820096097170622
"107","TCFN","50/50",0.161210372207224,0.102663513914175,0.0875097848197871
"108","TCFN","75/25",0.162219627564242,0.10735204291325,0.0836718081363981
"109","TCG3","25/75",0.131005090763949,0.107053917691774,0.065184412047051
"110","TCG3","50/50",0.153939488865483,0.0932453694803819,0.0895472646008526
"111","TCG3","75/25",0.164458053428497,0.104342802274299,0.0892324910522586
"112","TCHA","25/75",0.155329992165381,0.114475165496608,0.0800595048902556
"113","TCHA","50/50",0.15632017364789,0.156535167973049,0.0806460628254523
"114","TCHA","75/25",0.165289052336492,0.111241812594163,0.0861389166855267
"115","TCOPN","25/75",0.154976818703377,0.0982158204843428,0.081240753065323
"116","TCOPN","50/50",0.141540774716854,0.133611022791091,0.0773988379536082
"117","TCOPN","75/25",0.134845414884673,0.103640780985206,0.0804377708019861
