,Metadata_Stiffness,ConditionStiff,Mean_Red_Norm,Mean_Orange_Norm,Rank_Red,Rank_Orange,Difference in Rank
60,1kPa,HA100_1kPa,0.078700425,0.112188813,97,60,37
70,1kPa,HAOPN25/75_1kPa,0.077304388,0.110472861,99,62,37
139,25kPa,C1OPN75/25_25kPa,0.08068506,0.143194938,54,17,37
142,25kPa,C1TC75/25_25kPa,0.090811677,0.106061297,21,58,37
64,1kPa,HAFN25/75_1kPa,0.098504918,0.139185158,48,12,36
133,25kPa,C1HA75/25_25kPa,0.084429987,0.099772431,41,77,36
178,25kPa,HADN25/75_25kPa,0.057514799,0.098927266,115,79,36
67,1kPa,HAG325/75_1kPa,0.111216466,0.116628262,13,48,35
93,1kPa,OPNDN25/75_1kPa,0.090112056,0.120180317,73,38,35
205,25kPa,LNOPN75/25_25kPa,0.125134432,0.120819284,1,36,35
75,1kPa,LNDN50/50_1kPa,0.086447499,0.117033447,81,47,34
85,1kPa,LNHA75/25_1kPa,0.098316675,0.135895146,49,15,34
110,1kPa,TCG350/50_1kPa,0.093981641,0.093143382,61,94,33
223,25kPa,TCFN25/75_25kPa,0.069366579,0.105434908,93,60,33
74,1kPa,LNDN25/75_1kPa,0.101795655,0.175100462,33,1,32
106,1kPa,TCFN25/75_1kPa,0.09465264,0.125825996,59,27,32
147,25kPa,C4FN25/75_25kPa,0.078969485,0.093312138,57,89,32
151,25kPa,C4G350/50_25kPa,0.081348356,0.097502061,51,83,32
185,25kPa,HAG350/50_25kPa,0.068596803,0.104731218,94,62,32
6,1kPa,C1DN50/50_1kPa,0.088727159,0.082351611,77,108,31
105,1kPa,TCDN75/25_1kPa,0.099452835,0.105772028,43,74,31
184,25kPa,HAG325/75_25kPa,0.075659985,0.120250917,69,38,31
37,1kPa,C4HA50/50_1kPa,0.091799202,0.120381086,66,36,30
194,25kPa,LNFN25/75_25kPa,0.073473721,0.111198808,76,46,30
42,1kPa,C4OPN25/75_1kPa,0.096773302,0.096524387,56,85,29
